edad,estado_civil,escolaridad,default,saldo,prestatario,ultimo_contacto,ct_contactos,adherencia_inversion
49,casado (a),secundaria,no,2201,no,233,3,no
36,casado (a),secundaria,no,63,no,56,8,no
39,casado (a),secundaria,no,1439,no,73,6,no
28,soltero (a),secundaria,no,198,no,128,2,si
33,casado (a),superior,no,641,no,347,2,no
30,casado (a),secundaria,no,1743,no,192,4,no
32,casado (a),secundaria,no,4,no,145,2,no
49,casado (a),secundaria,no,2039,no,451,1,si
57,casado (a),secundaria,no,1044,no,585,1,si
34,casado (a),superior,no,3050,no,469,1,si
29,casado (a),superior,no,451,no,451,1,no
36,casado (a),secundaria,no,465,no,160,1,no
41,casado (a),secundaria,no,77,no,56,1,no
38,casado (a),superior,no,432,no,10,2,no
36,casado (a),secundaria,no,2394,no,184,2,no
30,soltero (a),superior,no,305,no,633,1,si
78,divorciado (a),primaria,no,229,no,97,1,si
42,casado (a),secundaria,no,-921,no,115,2,no
30,soltero (a),superior,no,2,no,102,1,no
29,soltero (a),secundaria,no,-20,si,574,1,si
31,soltero (a),secundaria,no,1086,no,410,1,no
59,casado (a),secundaria,no,2308,no,815,1,si
30,soltero (a),secundaria,no,3107,no,1516,2,no
48,casado (a),superior,no,1147,no,389,1,si
49,casado (a),primaria,no,889,no,388,1,si
27,soltero (a),primaria,no,1209,no,283,1,no
37,soltero (a),superior,si,0,no,108,1,no
75,divorciado (a),superior,no,3810,no,262,1,si
46,divorciado (a),secundaria,no,-90,si,270,1,si
34,casado (a),secundaria,no,1897,si,441,1,no
59,casado (a),secundaria,no,92,no,139,2,no
79,casado (a),primaria,no,8556,no,326,2,si
28,soltero (a),superior,no,442,no,474,3,si
35,casado (a),secundaria,si,0,si,105,3,no
42,casado (a),secundaria,no,292,no,222,3,no
28,casado (a),secundaria,no,225,si,866,2,no
55,casado (a),primaria,no,298,no,144,3,no
43,casado (a),secundaria,no,2160,no,261,1,si
50,casado (a),secundaria,no,7317,no,172,1,no
33,casado (a),superior,no,640,no,318,1,no
26,soltero (a),secundaria,no,255,no,457,1,si
66,casado (a),primaria,no,206,no,479,1,si
32,casado (a),secundaria,no,1005,no,215,1,no
53,divorciado (a),secundaria,no,751,no,343,4,no
60,casado (a),secundaria,no,-396,no,443,1,no
61,casado (a),secundaria,no,985,no,998,6,si
72,casado (a),primaria,no,763,no,384,2,si
34,casado (a),superior,no,436,no,28,1,no
53,casado (a),secundaria,no,1796,no,295,1,si
54,casado (a),secundaria,no,653,no,352,1,no
58,casado (a),primaria,no,565,no,876,1,si
42,casado (a),secundaria,no,508,no,70,1,no
52,divorciado (a),primaria,no,-191,no,755,1,si
36,casado (a),superior,no,6,no,246,1,no
33,soltero (a),primaria,no,92,no,127,1,no
67,casado (a),secundaria,no,16353,no,223,2,no
62,divorciado (a),superior,no,6,no,216,1,si
34,soltero (a),secundaria,no,4943,si,117,2,no
70,casado (a),secundaria,no,2815,no,125,2,no
37,casado (a),superior,no,238,no,185,1,si
35,casado (a),secundaria,no,1067,si,179,6,no
55,divorciado (a),secundaria,no,3450,no,169,1,si
33,casado (a),superior,no,79,no,249,2,si
34,casado (a),secundaria,no,470,si,217,1,no
61,casado (a),secundaria,no,5207,no,336,1,no
47,casado (a),secundaria,no,0,no,676,1,no
35,casado (a),secundaria,no,152,no,563,1,si
40,casado (a),secundaria,no,1451,no,314,1,si
25,soltero (a),superior,no,760,no,223,3,si
40,casado (a),secundaria,no,260,no,52,1,no
28,soltero (a),superior,no,-328,no,318,2,no
33,casado (a),secundaria,no,0,si,83,12,no
52,casado (a),secundaria,no,431,no,73,17,no
49,casado (a),secundaria,no,3608,no,231,1,si
43,casado (a),primaria,no,2567,no,109,1,no
37,casado (a),superior,no,1315,no,224,1,si
74,casado (a),secundaria,no,921,no,394,2,si
30,soltero (a),secundaria,no,4,no,443,2,no
59,divorciado (a),secundaria,no,879,no,228,1,no
35,soltero (a),secundaria,no,0,no,1073,1,si
33,soltero (a),superior,no,3143,no,421,2,si
39,casado (a),superior,no,691,si,517,1,no
32,soltero (a),superior,no,2185,no,354,2,no
42,divorciado (a),superior,no,7190,no,375,2,no
57,casado (a),secundaria,no,1469,no,364,1,no
33,soltero (a),secundaria,no,22,no,76,2,no
37,casado (a),secundaria,no,1053,no,405,3,no
44,soltero (a),superior,no,900,no,322,2,no
45,soltero (a),primaria,no,999,no,182,2,no
41,casado (a),superior,no,-29,no,41,2,no
26,soltero (a),primaria,no,3342,no,329,4,no
51,divorciado (a),secundaria,no,1069,no,247,2,no
46,divorciado (a),secundaria,no,7378,no,466,1,no
45,casado (a),secundaria,no,128,si,275,2,no
46,soltero (a),secundaria,no,834,no,196,2,no
41,casado (a),primaria,no,8,no,155,2,no
29,soltero (a),secundaria,no,103,no,314,1,no
39,soltero (a),secundaria,no,7066,no,667,3,si
41,soltero (a),secundaria,no,231,no,76,2,no
59,casado (a),primaria,no,748,no,184,1,no
47,casado (a),secundaria,no,405,si,994,2,si
34,casado (a),secundaria,no,2374,no,161,1,si
34,casado (a),superior,no,1657,no,566,2,no
51,divorciado (a),secundaria,no,1679,no,417,1,si
30,casado (a),primaria,no,1317,no,395,2,no
42,soltero (a),primaria,no,1322,si,178,1,no
46,casado (a),secundaria,no,548,no,1181,4,si
36,soltero (a),superior,no,2944,no,882,8,si
43,casado (a),secundaria,no,3285,no,1721,2,si
61,casado (a),secundaria,no,4608,no,212,1,si
31,soltero (a),secundaria,no,2544,no,252,1,si
33,casado (a),superior,no,263,no,119,2,no
55,divorciado (a),secundaria,no,1613,no,296,1,si
30,soltero (a),secundaria,si,4,no,84,3,no
39,casado (a),primaria,no,1506,no,299,2,no
30,soltero (a),superior,no,302,no,528,3,si
49,casado (a),secundaria,no,-454,no,558,1,si
32,soltero (a),secundaria,no,811,no,563,1,si
36,casado (a),superior,no,1133,no,293,1,si
59,casado (a),secundaria,no,5314,no,200,3,no
39,casado (a),secundaria,no,260,no,146,1,no
34,soltero (a),secundaria,no,215,no,350,3,si
33,casado (a),superior,no,150,no,151,2,no
42,divorciado (a),secundaria,no,1811,no,150,1,no
52,soltero (a),primaria,no,217,si,193,6,no
33,soltero (a),superior,no,1240,no,505,2,no
36,casado (a),superior,no,1109,no,328,2,no
49,casado (a),superior,no,523,no,152,2,si
40,casado (a),secundaria,no,1012,no,410,1,no
45,divorciado (a),superior,no,220,no,89,4,no
60,casado (a),secundaria,no,89,no,156,2,no
36,soltero (a),secundaria,no,1482,no,177,2,no
38,soltero (a),secundaria,no,2543,no,223,1,si
53,casado (a),primaria,no,2581,no,99,1,no
34,soltero (a),secundaria,no,475,no,538,8,no
49,divorciado (a),primaria,no,198,no,205,3,no
43,casado (a),secundaria,no,17555,no,14,14,no
46,soltero (a),superior,no,334,no,36,6,no
39,soltero (a),superior,no,0,no,561,4,no
45,soltero (a),secundaria,no,410,no,891,4,si
53,casado (a),secundaria,no,25,no,528,2,si
41,casado (a),secundaria,no,4900,no,121,2,no
44,casado (a),secundaria,no,304,no,129,2,no
41,casado (a),superior,no,171,no,209,1,no
27,soltero (a),secundaria,no,619,no,16,5,no
52,casado (a),superior,no,-970,no,489,1,si
31,casado (a),superior,no,2395,no,218,1,no
43,casado (a),secundaria,no,132,no,574,1,si
25,soltero (a),secundaria,no,913,no,113,4,no
32,divorciado (a),superior,no,267,no,128,1,no
56,divorciado (a),superior,no,2959,no,325,1,no
30,casado (a),secundaria,no,975,no,256,2,no
61,casado (a),superior,no,997,no,106,1,si
29,casado (a),secundaria,no,0,no,83,6,no
31,soltero (a),superior,no,1494,no,275,12,no
37,casado (a),superior,no,1698,no,95,2,no
31,soltero (a),primaria,no,26965,no,654,2,si
58,casado (a),primaria,no,781,no,74,2,no
59,divorciado (a),secundaria,no,1026,no,669,1,si
30,soltero (a),superior,no,201,no,325,2,si
35,soltero (a),secundaria,no,0,no,1174,1,si
57,casado (a),secundaria,no,158,no,73,1,no
33,soltero (a),superior,no,316,no,126,3,no
38,soltero (a),secundaria,no,2253,no,937,3,si
51,divorciado (a),secundaria,no,2323,si,151,10,no
42,divorciado (a),secundaria,no,2974,no,187,5,no
54,casado (a),primaria,no,541,no,237,3,no
28,soltero (a),primaria,no,0,si,380,4,no
35,casado (a),secundaria,no,13658,no,220,2,no
46,casado (a),secundaria,no,451,si,389,4,no
26,soltero (a),secundaria,no,209,no,319,2,no
59,casado (a),primaria,no,0,no,3025,2,no
53,casado (a),primaria,no,104,si,701,1,si
47,soltero (a),secundaria,no,3696,no,250,2,si
50,divorciado (a),secundaria,no,1111,no,50,1,no
36,soltero (a),secundaria,no,1855,no,75,1,no
52,casado (a),superior,no,54,si,103,1,no
32,casado (a),superior,no,3939,no,209,2,no
22,soltero (a),secundaria,no,2488,no,449,2,si
53,casado (a),primaria,no,4143,no,200,3,no
52,casado (a),secundaria,no,196,si,116,1,no
41,casado (a),secundaria,no,8238,si,124,4,no
40,casado (a),secundaria,no,1100,no,660,2,no
34,casado (a),superior,no,899,no,377,3,no
35,soltero (a),superior,no,2658,no,768,2,si
49,casado (a),primaria,no,365,no,59,2,no
34,soltero (a),superior,no,171,no,191,1,no
27,soltero (a),secundaria,no,-195,no,391,1,si
63,casado (a),secundaria,no,3904,no,250,2,si
28,soltero (a),superior,no,1562,no,659,4,si
28,soltero (a),superior,no,0,no,479,1,no
32,soltero (a),secundaria,no,0,no,181,2,no
34,soltero (a),superior,no,-292,no,181,6,no
47,divorciado (a),secundaria,no,225,no,1126,4,si
36,soltero (a),superior,no,442,si,102,3,no
56,divorciado (a),superior,no,442,no,77,3,no
27,casado (a),secundaria,no,897,no,397,1,si
42,soltero (a),secundaria,no,30,no,98,1,no
29,casado (a),secundaria,no,228,no,12,8,no
29,casado (a),superior,no,199,si,1689,4,si
46,casado (a),secundaria,no,668,no,1263,2,si
45,divorciado (a),primaria,no,757,no,103,1,no
37,casado (a),superior,no,489,no,205,5,no
46,casado (a),secundaria,no,390,no,208,2,no
40,casado (a),secundaria,no,61,no,112,3,no
44,divorciado (a),secundaria,no,14,no,167,1,si
42,soltero (a),primaria,no,1628,no,119,1,no
32,casado (a),secundaria,no,2089,no,132,1,si
38,soltero (a),secundaria,no,-242,no,1173,3,si
71,casado (a),primaria,no,4657,no,93,5,si
34,casado (a),secundaria,no,250,no,193,6,no
55,soltero (a),primaria,no,1187,no,193,2,no
73,casado (a),primaria,no,796,no,427,1,si
33,soltero (a),superior,no,2155,no,295,1,no
41,soltero (a),superior,no,1646,no,261,1,si
51,casado (a),secundaria,no,143,no,627,1,no
42,divorciado (a),secundaria,no,1533,si,86,1,no
30,soltero (a),secundaria,no,178,no,747,5,no
50,casado (a),secundaria,no,732,no,736,7,no
41,casado (a),secundaria,no,552,no,463,1,no
32,casado (a),secundaria,no,1148,no,121,1,no
38,casado (a),superior,no,1988,no,164,2,si
25,soltero (a),secundaria,no,331,no,170,4,si
46,casado (a),superior,no,273,no,910,2,si
77,casado (a),superior,no,0,no,847,1,si
30,soltero (a),superior,no,2,si,1031,8,si
32,soltero (a),secundaria,no,6402,no,158,1,no
48,casado (a),secundaria,no,817,no,517,1,si
53,soltero (a),secundaria,no,5715,no,287,2,no
36,casado (a),secundaria,no,1409,no,235,2,no
33,divorciado (a),secundaria,no,474,no,400,2,no
33,divorciado (a),secundaria,no,0,no,224,8,no
58,casado (a),secundaria,no,502,no,197,2,no
25,soltero (a),secundaria,no,8,no,107,2,si
49,casado (a),secundaria,no,1568,no,206,6,no
43,casado (a),superior,no,422,no,110,1,no
32,soltero (a),superior,no,311,no,757,2,si
80,casado (a),primaria,no,6483,no,123,1,no
55,casado (a),primaria,no,229,si,175,3,no
30,casado (a),superior,no,0,no,127,1,no
53,casado (a),secundaria,no,94,no,493,1,si
51,soltero (a),superior,no,297,no,415,4,si
37,casado (a),superior,no,5106,no,244,1,si
28,soltero (a),secundaria,no,227,no,278,1,si
49,divorciado (a),superior,no,755,no,1212,4,si
27,casado (a),secundaria,no,2171,no,130,1,no
36,soltero (a),secundaria,no,0,no,85,6,no
35,soltero (a),superior,no,71,no,836,12,no
19,soltero (a),secundaria,no,302,no,205,1,si
36,casado (a),secundaria,no,146,si,284,2,no
50,soltero (a),superior,no,1200,no,904,3,si
41,soltero (a),secundaria,si,-386,si,477,1,si
32,casado (a),primaria,no,795,no,131,3,no
39,casado (a),superior,no,894,no,491,1,no
50,casado (a),primaria,no,395,no,419,2,no
36,casado (a),superior,no,0,no,60,1,no
80,casado (a),primaria,no,0,no,639,1,si
52,casado (a),secundaria,no,195,no,220,1,si
52,casado (a),secundaria,no,-9,no,123,1,no
37,divorciado (a),superior,no,168,no,227,1,no
47,casado (a),primaria,no,2642,no,310,2,no
39,casado (a),secundaria,no,285,si,209,1,no
31,casado (a),superior,no,636,no,352,4,si
41,divorciado (a),secundaria,no,174,no,367,2,no
23,soltero (a),primaria,no,8627,no,169,1,no
46,casado (a),secundaria,no,22,no,388,6,si
28,soltero (a),secundaria,no,171,no,93,1,si
36,soltero (a),superior,no,1531,no,81,3,no
58,casado (a),secundaria,no,14412,no,297,1,no
52,casado (a),secundaria,no,108,no,543,12,no
41,casado (a),primaria,no,39,no,549,2,si
27,casado (a),superior,no,802,no,569,1,si
46,casado (a),secundaria,no,368,no,293,1,si
44,casado (a),secundaria,no,205,no,289,1,si
41,casado (a),secundaria,si,720,si,651,1,si
23,soltero (a),primaria,no,8627,no,281,1,no
28,soltero (a),superior,no,4579,no,409,2,si
34,soltero (a),superior,no,586,no,489,2,no
47,casado (a),secundaria,no,1121,no,454,6,no
44,soltero (a),secundaria,no,244,no,1735,4,si
50,casado (a),superior,no,52,no,22,8,no
38,casado (a),secundaria,no,3732,no,379,2,no
31,casado (a),secundaria,no,24,no,631,1,no
40,soltero (a),secundaria,no,-1,no,173,1,no
40,casado (a),secundaria,no,93,no,134,2,no
48,soltero (a),superior,no,-551,no,168,2,no
39,divorciado (a),secundaria,no,1022,no,20,3,no
34,soltero (a),secundaria,no,943,no,96,4,no
41,casado (a),primaria,no,204,no,111,7,no
57,casado (a),superior,no,0,si,648,1,si
55,casado (a),superior,no,979,si,123,1,no
43,casado (a),superior,no,1429,no,1015,1,si
59,casado (a),secundaria,no,9976,no,57,2,no
40,divorciado (a),superior,no,502,no,267,4,no
30,casado (a),superior,no,1942,si,436,2,si
28,casado (a),secundaria,no,655,no,606,2,no
36,casado (a),secundaria,no,80,no,251,3,no
41,casado (a),superior,no,72,no,764,3,no
27,soltero (a),superior,no,1,no,65,2,no
33,soltero (a),superior,no,23,no,216,3,no
37,soltero (a),secundaria,no,-242,no,1149,6,si
47,divorciado (a),superior,no,2515,no,40,3,no
44,casado (a),superior,no,22,no,265,2,no
31,casado (a),secundaria,no,-230,si,715,1,no
36,casado (a),superior,no,495,no,157,3,si
58,casado (a),primaria,no,1013,no,206,1,si
54,divorciado (a),superior,no,0,no,618,1,si
28,soltero (a),secundaria,no,459,no,83,13,no
32,casado (a),secundaria,no,38,no,744,1,si
34,casado (a),secundaria,no,103,si,956,2,no
31,soltero (a),secundaria,no,775,no,361,1,no
31,soltero (a),secundaria,no,203,si,177,1,no
44,casado (a),secundaria,no,2776,no,701,1,si
34,soltero (a),secundaria,no,1386,si,185,6,no
24,soltero (a),secundaria,no,822,no,184,1,si
55,casado (a),superior,no,-375,no,814,2,si
33,casado (a),secundaria,no,-163,si,502,2,no
53,divorciado (a),secundaria,no,765,no,959,3,si
35,casado (a),superior,no,7050,no,222,3,si
34,casado (a),superior,no,197,no,78,3,si
37,casado (a),secundaria,no,430,no,154,4,no
31,soltero (a),primaria,no,406,no,736,1,si
58,casado (a),primaria,no,435,no,122,6,no
37,soltero (a),primaria,no,851,no,151,1,no
32,soltero (a),secundaria,no,2881,no,356,1,si
28,soltero (a),secundaria,no,389,no,15,7,no
59,divorciado (a),secundaria,no,5845,no,1060,2,si
33,casado (a),secundaria,no,386,no,253,1,si
34,casado (a),secundaria,no,5320,no,114,6,no
34,casado (a),superior,no,180,no,298,3,no
25,soltero (a),secundaria,no,1790,no,224,1,no
30,casado (a),superior,no,944,no,251,2,si
35,divorciado (a),superior,no,321,no,189,1,no
39,casado (a),secundaria,no,1045,si,290,13,no
46,casado (a),secundaria,no,70,no,229,2,si
52,casado (a),secundaria,no,657,no,398,2,si
45,divorciado (a),primaria,no,844,no,1018,3,si
58,casado (a),secundaria,no,111,no,58,2,no
26,divorciado (a),superior,si,-402,si,127,2,no
32,soltero (a),superior,no,1831,no,86,2,no
55,divorciado (a),primaria,no,976,no,345,1,si
31,soltero (a),secundaria,si,25,no,381,1,no
31,soltero (a),secundaria,no,4888,no,475,4,no
45,casado (a),secundaria,no,315,no,103,1,no
37,casado (a),secundaria,no,4153,no,35,16,no
83,casado (a),secundaria,no,0,no,140,10,no
51,casado (a),secundaria,no,1840,no,312,3,no
52,casado (a),secundaria,no,1117,no,365,1,no
32,soltero (a),superior,no,0,no,550,4,si
33,soltero (a),superior,no,61,no,836,3,si
29,soltero (a),superior,no,828,no,215,3,no
30,soltero (a),secundaria,no,102,no,614,2,no
35,soltero (a),superior,no,633,no,128,3,no
56,casado (a),secundaria,no,-1206,no,382,2,si
30,casado (a),primaria,no,1787,no,79,1,no
34,soltero (a),superior,no,462,no,1877,3,si
26,soltero (a),secundaria,no,-32,si,14,6,no
43,soltero (a),secundaria,no,3403,no,707,2,si
45,casado (a),secundaria,no,295,no,92,1,no
41,casado (a),secundaria,no,-217,no,313,1,no
22,soltero (a),secundaria,no,333,si,129,1,no
41,soltero (a),secundaria,no,879,si,60,4,no
32,casado (a),primaria,no,228,no,1017,6,si
41,casado (a),primaria,no,5310,no,984,1,si
42,casado (a),secundaria,no,4945,no,311,2,si
33,soltero (a),superior,no,0,no,236,10,no
41,casado (a),secundaria,no,-256,no,147,2,no
34,divorciado (a),secundaria,no,44,no,118,1,no
53,casado (a),primaria,no,306,no,388,3,si
33,divorciado (a),secundaria,si,10,si,167,5,no
29,soltero (a),superior,no,14,no,87,1,no
49,casado (a),primaria,no,305,si,834,10,no
51,casado (a),superior,no,-3,no,91,9,no
40,casado (a),secundaria,no,51,no,50,1,no
54,casado (a),superior,no,8295,no,207,1,si
23,soltero (a),primaria,no,4,no,395,2,si
32,soltero (a),secundaria,no,620,no,1234,3,si
42,casado (a),superior,no,12223,no,36,1,no
75,divorciado (a),secundaria,no,1341,no,415,7,si
31,soltero (a),superior,no,614,no,72,4,no
37,soltero (a),secundaria,no,2442,no,91,3,si
31,soltero (a),secundaria,no,360,no,592,4,no
31,casado (a),superior,no,22546,no,8,6,no
39,divorciado (a),secundaria,no,902,no,691,2,si
36,casado (a),superior,no,3057,no,2769,4,si
46,soltero (a),superior,no,1410,no,93,1,no
36,soltero (a),secundaria,si,12,no,587,2,si
53,casado (a),secundaria,no,459,no,558,1,si
34,casado (a),superior,no,1611,no,490,2,no
35,divorciado (a),superior,no,1354,no,736,2,si
38,casado (a),secundaria,no,435,no,193,2,no
27,soltero (a),secundaria,no,671,no,332,2,no
56,casado (a),primaria,no,828,no,214,1,no
33,casado (a),secundaria,no,4902,no,110,1,no
32,soltero (a),superior,no,2,no,100,2,si
37,casado (a),primaria,no,3242,no,233,1,no
30,casado (a),secundaria,no,371,no,124,2,no
49,casado (a),superior,no,1235,no,354,3,si
77,casado (a),superior,no,7802,no,421,1,si
41,soltero (a),secundaria,no,75,no,479,9,si
42,casado (a),primaria,no,0,si,209,2,no
52,casado (a),secundaria,no,2347,si,603,3,no
49,casado (a),secundaria,no,0,si,71,7,no
47,casado (a),primaria,no,145,no,157,6,no
46,casado (a),primaria,no,2558,no,107,1,no
51,casado (a),secundaria,no,2237,no,619,1,no
45,casado (a),secundaria,no,5346,si,187,1,si
42,soltero (a),superior,no,525,no,127,2,no
59,casado (a),secundaria,no,2381,no,173,2,no
67,casado (a),superior,no,701,no,254,2,si
27,soltero (a),secundaria,no,842,no,273,1,no
46,divorciado (a),superior,no,1297,no,716,3,si
60,soltero (a),superior,no,0,si,151,1,no
