Evasión,Género,Adulto Mayor,Tiene Pareja,Dependiente,Permanencia,Servicio Telefónico,Líneas Múltiples,Servicio Internet,Seguridad en Línea,Respaldo en Linea,Protección Dispositivo,Soporte Técnico,Streaming de TV,Streaming de Películas,Tipo Contrato,Facturación Electronica,Método de Pago,Cargo Mensual,Cargo Total,Cargo Diario
False,Femenino,False,True,False,55,True,True,Fibra óptica,True,False,False,False,True,False,Mes-a-Mes,True,Transferencia,89.8,4959.6,2.993333333333333
False,Femenino,False,True,False,59,True,True,Fibra óptica,True,True,False,False,True,False,Mes-a-Mes,True,Cheque electrónico,94.75,5597.65,3.158333333333333
False,Femenino,False,True,True,12,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia,20.3,224.5,0.6766666666666666
False,Masculino,False,True,True,27,True,True,Fibra óptica,False,False,False,False,False,False,Mes-a-Mes,True,Transferencia,75.75,1929.0,2.525
True,Masculino,True,False,False,2,True,False,DSL,True,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,49.25,91.1,1.6416666666666666
False,Femenino,False,False,False,27,True,False,DSL,False,True,True,True,True,True,Un año,False,Cheque por correo,78.2,2078.95,2.606666666666667
False,Masculino,False,True,True,25,True,True,No,False,False,False,False,False,False,Dos años,False,Tarjeta de crédito,25.5,630.6,0.85
False,Masculino,False,True,True,25,True,False,DSL,True,True,True,False,False,False,Un año,True,Transferencia,61.6,1611.0,2.0533333333333332
False,Masculino,False,False,True,29,False,False,DSL,True,True,True,True,False,False,Mes-a-Mes,True,Cheque por correo,45.0,1242.45,1.5
False,Masculino,False,True,False,72,True,True,DSL,False,True,True,True,True,True,Dos años,True,Transferencia,85.15,6316.2,2.8383333333333334
False,Femenino,False,False,False,14,True,False,DSL,False,True,False,False,False,False,Un año,False,Tarjeta de crédito,51.45,727.85,1.715
False,Femenino,False,False,False,35,True,False,Fibra óptica,False,False,True,True,True,True,Un año,True,Cheque electrónico,99.25,3532.0,3.308333333333333
False,Masculino,False,False,False,1,True,False,DSL,False,False,False,False,False,False,Mes-a-Mes,True,Cheque por correo,44.3,44.3,1.4766666666666666
False,Masculino,False,False,False,29,True,False,Fibra óptica,False,False,False,True,True,True,Mes-a-Mes,True,Cheque electrónico,94.2,2607.6,3.14
False,Masculino,False,False,False,64,True,True,DSL,True,True,True,True,True,False,Un año,False,Cheque electrónico,81.25,5567.55,2.7083333333333335
False,Femenino,False,True,True,39,True,True,Fibra óptica,False,False,False,True,True,True,Mes-a-Mes,True,Tarjeta de crédito,99.95,3767.4,3.3316666666666666
False,Femenino,True,False,False,40,True,False,Fibra óptica,False,False,False,False,True,True,Mes-a-Mes,True,Cheque electrónico,91.55,3673.6,3.0516666666666667
True,Masculino,False,False,False,40,True,True,Fibra óptica,False,True,True,False,True,True,Mes-a-Mes,True,Tarjeta de crédito,104.5,4036.85,3.4833333333333334
True,Femenino,True,False,False,11,True,False,Fibra óptica,False,True,False,False,True,True,Mes-a-Mes,True,Cheque electrónico,95.0,1120.3,3.1666666666666665
False,Femenino,False,True,False,6,True,True,DSL,False,False,False,False,False,False,Mes-a-Mes,False,Cheque electrónico,50.35,314.55,1.6783333333333335
False,Masculino,False,False,False,30,True,True,DSL,True,False,False,False,False,True,Mes-a-Mes,True,Cheque por correo,64.5,1888.45,2.15
False,Masculino,False,False,False,27,True,False,No,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,19.4,529.8,0.6466666666666666
False,Masculino,True,True,False,70,True,True,Fibra óptica,False,True,True,False,True,True,Un año,True,Cheque electrónico,104.8,7308.95,3.493333333333333
False,Femenino,False,True,False,57,True,True,Fibra óptica,False,True,True,True,True,True,Un año,True,Transferencia,109.4,6252.7,3.646666666666667
False,Masculino,False,True,False,58,True,False,DSL,False,False,True,False,False,False,Un año,False,Tarjeta de crédito,50.3,2878.55,1.6766666666666665
False,Masculino,False,False,False,16,True,True,DSL,False,True,True,False,False,True,Mes-a-Mes,True,Transferencia,71.4,1212.1,2.3800000000000003
False,Femenino,False,True,False,69,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,True,Cheque electrónico,116.0,8182.85,3.8666666666666667
True,Masculino,False,False,False,1,True,False,No,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,19.85,19.85,0.6616666666666667
True,Masculino,False,False,True,1,True,True,Fibra óptica,False,False,True,False,True,True,Mes-a-Mes,True,Cheque electrónico,99.75,99.75,3.325
False,Masculino,True,True,True,32,True,False,Fibra óptica,False,True,False,False,True,True,Mes-a-Mes,True,Cheque por correo,93.95,2861.45,3.131666666666667
False,Masculino,False,True,True,16,True,True,Fibra óptica,False,False,True,False,True,False,Mes-a-Mes,True,Transferencia,90.8,1442.2,3.0266666666666664
True,Masculino,False,True,False,49,True,True,DSL,True,False,True,True,True,True,Un año,False,Cheque electrónico,84.35,4059.35,2.8116666666666665
False,Femenino,False,True,False,71,False,False,DSL,False,True,True,True,True,True,Dos años,False,Transferencia,58.25,4145.9,1.9416666666666667
False,Femenino,False,False,False,33,True,True,Fibra óptica,False,True,True,False,True,True,Mes-a-Mes,False,Cheque electrónico,107.55,3645.5,3.585
False,Femenino,False,True,False,10,True,False,No,False,False,False,False,False,False,Mes-a-Mes,True,Transferencia,19.95,187.75,0.6649999999999999
True,Masculino,False,True,False,21,True,True,Fibra óptica,False,True,True,True,True,True,Mes-a-Mes,True,Cheque electrónico,111.2,2317.1,3.7066666666666666
True,Masculino,False,True,True,37,False,False,DSL,True,True,True,False,False,False,Mes-a-Mes,False,Transferencia,40.2,1448.8,1.34
False,Femenino,True,False,False,26,True,False,Fibra óptica,True,False,False,False,True,False,Mes-a-Mes,True,Tarjeta de crédito,85.8,2193.65,2.86
False,Masculino,False,False,False,71,True,False,No,False,False,False,False,False,False,Dos años,True,Tarjeta de crédito,19.9,1355.1,0.6633333333333333
False,Masculino,False,False,False,50,False,False,DSL,True,False,False,True,False,False,Un año,True,Cheque por correo,35.4,1748.9,1.18
True,Femenino,False,False,False,7,True,True,Fibra óptica,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,73.85,511.25,2.4616666666666664
False,Femenino,False,True,True,61,True,True,DSL,True,True,True,True,True,True,Dos años,False,Cheque por correo,88.1,5526.75,2.9366666666666665
True,Masculino,False,False,False,15,True,False,Fibra óptica,False,False,True,True,True,True,Mes-a-Mes,True,Cheque electrónico,101.35,1553.95,3.378333333333333
False,Femenino,False,False,True,26,False,False,DSL,True,False,False,True,False,True,Mes-a-Mes,False,Cheque por correo,45.8,1147.0,1.5266666666666666
False,Masculino,False,True,False,72,True,False,Fibra óptica,False,False,True,False,True,True,Mes-a-Mes,True,Cheque electrónico,94.65,6747.35,3.1550000000000002
False,Masculino,False,True,True,44,True,False,No,False,False,False,False,False,False,Un año,True,Transferencia,20.5,865.05,0.6833333333333333
False,Masculino,False,False,False,66,True,True,Fibra óptica,False,True,False,False,False,True,Mes-a-Mes,False,Tarjeta de crédito,89.4,5976.9,2.98
True,Femenino,False,False,False,2,True,False,Fibra óptica,True,True,False,True,False,False,Mes-a-Mes,True,Cheque electrónico,86.25,181.65,2.875
False,Femenino,True,False,False,44,True,False,DSL,False,False,True,True,True,True,Un año,False,Transferencia,74.85,3268.05,2.4949999999999997
True,Femenino,False,False,False,12,True,True,Fibra óptica,False,True,False,False,True,False,Mes-a-Mes,True,Transferencia,89.75,1052.4,2.9916666666666667
False,Masculino,True,True,False,69,True,True,Fibra óptica,False,True,True,True,True,True,Dos años,True,Cheque electrónico,109.95,7634.25,3.665
True,Femenino,False,False,False,1,True,True,Fibra óptica,False,True,False,False,False,False,Mes-a-Mes,True,Cheque por correo,80.2,80.2,2.6733333333333333
True,Femenino,False,False,False,3,True,False,No,False,False,False,False,False,False,Mes-a-Mes,False,Cheque por correo,19.85,63.75,0.6616666666666667
False,Femenino,False,True,False,2,True,False,Fibra óptica,True,True,False,False,True,False,Mes-a-Mes,False,Cheque electrónico,90.35,190.5,3.0116666666666663
False,Femenino,True,False,False,27,True,True,Fibra óptica,False,True,True,False,False,False,Mes-a-Mes,True,Transferencia,86.45,2401.05,2.881666666666667
False,Masculino,False,False,False,26,True,False,No,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,20.3,511.25,0.6766666666666666
False,Femenino,True,True,False,39,True,True,Fibra óptica,False,False,False,True,True,True,Mes-a-Mes,True,Cheque electrónico,101.25,3949.15,3.375
True,Masculino,False,False,False,25,True,True,Fibra óptica,False,False,False,False,True,True,Mes-a-Mes,True,Transferencia,94.7,2362.1,3.1566666666666667
True,Femenino,False,False,False,1,True,False,Fibra óptica,False,False,False,False,False,False,Mes-a-Mes,False,Cheque por correo,70.9,70.9,2.3633333333333337
False,Masculino,False,False,False,29,True,False,DSL,True,True,False,True,False,False,Un año,True,Cheque electrónico,58.75,1696.2,1.9583333333333333
True,Masculino,False,True,False,22,True,False,DSL,True,False,False,True,False,False,Mes-a-Mes,True,Cheque electrónico,54.2,1152.7,1.8066666666666669
False,Femenino,True,False,False,5,True,False,DSL,True,True,False,True,False,False,Mes-a-Mes,False,Tarjeta de crédito,59.9,287.85,1.9966666666666666
False,Femenino,False,False,False,72,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,True,Cheque electrónico,114.9,8496.7,3.83
False,Femenino,False,False,False,24,True,False,No,False,False,False,False,False,False,Dos años,True,Transferencia,19.55,470.2,0.6516666666666667
False,Femenino,False,True,False,19,True,True,Fibra óptica,False,False,False,False,True,False,Mes-a-Mes,True,Cheque electrónico,86.85,1564.4,2.895
False,Masculino,False,True,True,71,True,True,No,False,False,False,False,False,False,Dos años,False,Tarjeta de crédito,25.35,1847.55,0.8450000000000001
False,Masculino,True,True,False,33,True,True,Fibra óptica,True,False,True,True,True,True,Mes-a-Mes,True,Transferencia,109.9,3694.7,3.6633333333333336
False,Femenino,False,False,False,3,True,False,No,False,False,False,False,False,False,Mes-a-Mes,False,Cheque por correo,19.95,58.0,0.6649999999999999
False,Masculino,False,True,True,47,True,True,Fibra óptica,False,True,False,False,True,False,Mes-a-Mes,False,Cheque electrónico,87.2,4017.45,2.9066666666666667
False,Masculino,False,True,True,62,True,False,Fibra óptica,True,True,True,True,True,True,Dos años,False,Cheque por correo,108.15,6825.65,3.605
False,Masculino,False,False,False,71,True,True,Fibra óptica,True,True,True,True,True,True,Un año,True,Transferencia,116.3,8309.55,3.8766666666666665
False,Masculino,True,True,False,7,True,False,Fibra óptica,False,False,False,False,True,True,Mes-a-Mes,True,Cheque electrónico,89.0,605.45,2.966666666666667
False,Femenino,False,True,True,27,True,False,Fibra óptica,True,False,False,False,False,False,Mes-a-Mes,False,Cheque por correo,74.4,1972.35,2.48
False,Masculino,False,False,False,2,True,False,No,False,False,False,False,False,False,Mes-a-Mes,False,Cheque por correo,20.05,33.7,0.6683333333333333
False,Femenino,False,False,True,25,False,False,DSL,True,False,False,True,False,False,Dos años,False,Transferencia,35.05,844.45,1.1683333333333332
False,Masculino,True,False,False,30,True,False,DSL,True,True,False,False,True,True,Mes-a-Mes,True,Cheque electrónico,74.75,2111.3,2.4916666666666667
True,Femenino,True,True,False,58,True,False,Fibra óptica,True,True,False,True,True,True,Un año,True,Tarjeta de crédito,105.5,6205.5,3.5166666666666666
True,Masculino,False,True,False,10,True,True,Fibra óptica,False,False,False,False,False,True,Mes-a-Mes,True,Cheque electrónico,85.25,855.3,2.841666666666667
False,Femenino,False,False,False,9,True,True,Fibra óptica,False,False,False,False,False,False,Mes-a-Mes,True,Tarjeta de crédito,75.2,633.85,2.506666666666667
True,Femenino,True,True,False,6,True,True,Fibra óptica,False,False,False,False,False,True,Mes-a-Mes,True,Cheque electrónico,84.35,474.9,2.8116666666666665
False,Femenino,False,True,True,69,True,True,Fibra óptica,True,False,True,False,False,False,Un año,False,Transferencia,84.45,5848.6,2.815
False,Femenino,True,False,False,66,True,True,Fibra óptica,True,False,False,False,True,True,Dos años,True,Transferencia,102.4,6471.85,3.4133333333333336
True,Femenino,False,False,False,70,True,True,Fibra óptica,True,True,True,True,True,True,Un año,False,Tarjeta de crédito,115.55,8127.6,3.8516666666666666
True,Masculino,False,False,False,25,True,True,No,False,False,False,False,False,False,Un año,False,Transferencia,25.3,676.35,0.8433333333333334
False,Femenino,False,True,True,46,True,False,No,False,False,False,False,False,False,Dos años,True,Cheque por correo,19.25,864.2,0.6416666666666667
False,Femenino,False,True,False,54,True,True,Fibra óptica,True,True,True,True,True,True,Un año,True,Cheque por correo,114.65,6049.5,3.8216666666666668
True,Femenino,False,False,False,15,True,False,Fibra óptica,True,False,True,True,True,True,Mes-a-Mes,False,Cheque electrónico,105.1,1582.75,3.503333333333333
False,Femenino,False,True,True,12,True,False,No,False,False,False,False,False,False,Mes-a-Mes,False,Transferencia,19.4,198.1,0.6466666666666666
False,Femenino,False,False,False,22,False,False,DSL,False,True,False,False,True,True,Mes-a-Mes,True,Cheque electrónico,50.35,1098.85,1.6783333333333335
False,Femenino,False,True,False,70,False,False,DSL,False,True,True,True,True,True,Dos años,False,Transferencia,57.8,4039.3,1.9266666666666665
False,Masculino,False,False,False,30,True,False,Fibra óptica,True,True,True,False,False,False,Mes-a-Mes,True,Tarjeta de crédito,84.3,2438.6,2.81
False,Masculino,False,True,True,71,True,True,Fibra óptica,False,True,False,False,True,True,Un año,False,Transferencia,100.55,7113.75,3.3516666666666666
False,Masculino,False,True,False,30,True,False,No,False,False,False,False,False,False,Un año,False,Tarjeta de crédito,19.8,576.65,0.66
True,Masculino,False,True,True,4,True,True,Fibra óptica,False,True,True,False,False,False,Mes-a-Mes,True,Transferencia,84.8,371.9,2.8266666666666667
True,Masculino,False,False,False,2,True,False,Fibra óptica,False,False,True,False,False,True,Mes-a-Mes,True,Cheque electrónico,85.85,167.3,2.8616666666666664
False,Masculino,False,False,True,10,True,False,No,False,False,False,False,False,False,Un año,True,Transferencia,19.95,219.5,0.6649999999999999
False,Masculino,True,False,False,4,True,False,Fibra óptica,True,False,False,False,False,False,Mes-a-Mes,False,Cheque electrónico,75.35,273.4,2.5116666666666663
False,Masculino,True,False,False,52,False,False,DSL,True,False,False,False,True,True,Mes-a-Mes,True,Tarjeta de crédito,48.8,2555.05,1.6266666666666665
True,Masculino,False,False,False,5,True,True,DSL,False,False,False,False,False,False,Mes-a-Mes,False,Cheque electrónico,47.15,223.15,1.5716666666666665
False,Masculino,False,True,True,8,True,False,No,False,False,False,False,False,False,Dos años,False,Cheque por correo,20.15,165.5,0.6716666666666666
False,Femenino,True,False,False,2,True,False,DSL,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,44.3,89.3,1.4766666666666666
False,Masculino,False,False,False,3,True,False,Fibra óptica,False,True,False,False,False,True,Mes-a-Mes,False,Cheque electrónico,84.3,235.05,2.81
False,Masculino,False,False,False,19,True,True,DSL,False,False,True,True,False,False,Mes-a-Mes,False,Cheque electrónico,59.55,1144.6,1.9849999999999999
False,Masculino,False,False,False,72,True,True,DSL,True,True,True,True,False,False,Dos años,False,Transferencia,69.65,4908.25,2.3216666666666668
False,Masculino,True,True,False,63,False,False,DSL,True,False,False,True,False,False,Un año,False,Transferencia,36.1,2298.9,1.2033333333333334
False,Masculino,False,True,False,66,False,False,DSL,True,True,True,True,True,False,Dos años,True,Transferencia,56.6,3789.2,1.8866666666666667
True,Masculino,False,False,False,1,True,False,Fibra óptica,False,False,False,True,False,False,Mes-a-Mes,True,Cheque electrónico,75.9,75.9,2.5300000000000002
False,Femenino,False,False,False,60,True,True,Fibra óptica,False,False,True,False,False,False,Un año,True,Transferencia,79.2,4765.0,2.64
False,Femenino,False,True,True,48,False,False,DSL,True,False,True,False,False,True,Un año,False,Tarjeta de crédito,45.0,2196.3,1.5
True,Femenino,False,False,False,1,True,False,Fibra óptica,False,False,True,False,True,False,Mes-a-Mes,True,Tarjeta de crédito,85.55,85.55,2.8516666666666666
True,Masculino,False,False,False,15,True,True,Fibra óptica,False,False,False,False,True,True,Mes-a-Mes,True,Cheque electrónico,93.35,1444.65,3.1116666666666664
False,Femenino,False,True,False,50,True,True,Fibra óptica,True,True,False,True,True,True,Mes-a-Mes,True,Transferencia,109.65,5405.8,3.6550000000000002
False,Masculino,False,True,True,72,True,True,DSL,True,True,True,True,True,True,Dos años,False,Tarjeta de crédito,89.7,6339.3,2.99
False,Femenino,False,False,False,46,True,True,Fibra óptica,True,True,False,False,False,False,Mes-a-Mes,False,Cheque por correo,84.25,3847.6,2.808333333333333
False,Femenino,False,True,True,72,True,True,DSL,True,True,True,True,True,True,Dos años,False,Transferencia,92.65,6733.0,3.0883333333333334
False,Masculino,False,True,True,1,True,False,No,False,False,False,False,False,False,Mes-a-Mes,False,Cheque por correo,19.7,19.7,0.6566666666666666
False,Femenino,False,False,False,1,True,True,DSL,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,50.1,50.1,1.6700000000000002
False,Femenino,True,False,False,67,True,False,Fibra óptica,True,True,False,True,True,False,Dos años,True,Transferencia,92.45,6140.85,3.0816666666666666
False,Femenino,False,True,True,48,True,True,DSL,False,True,False,True,True,True,Dos años,False,Cheque electrónico,79.65,3870.3,2.6550000000000002
False,Femenino,False,False,False,72,True,False,Fibra óptica,True,True,True,True,True,True,Dos años,True,Cheque electrónico,109.9,7624.2,3.6633333333333336
False,Masculino,False,True,False,52,True,True,DSL,True,True,True,True,False,True,Un año,True,Tarjeta de crédito,81.4,4354.45,2.7133333333333334
False,Femenino,False,True,True,67,True,False,DSL,False,True,False,False,False,False,Un año,False,Tarjeta de crédito,50.55,3431.75,1.6849999999999998
True,Femenino,False,True,True,28,True,False,Fibra óptica,False,False,False,False,False,True,Mes-a-Mes,True,Cheque electrónico,81.05,2227.1,2.7016666666666667
False,Femenino,False,True,True,32,True,True,DSL,False,True,True,False,False,False,Mes-a-Mes,False,Transferencia,62.45,2045.55,2.0816666666666666
True,Femenino,True,True,False,27,True,False,Fibra óptica,True,False,False,False,False,False,Mes-a-Mes,True,Transferencia,75.2,1929.35,2.506666666666667
False,Masculino,False,False,False,3,True,False,Fibra óptica,False,True,True,False,False,True,Mes-a-Mes,False,Cheque electrónico,90.4,268.45,3.0133333333333336
True,Masculino,False,False,False,2,True,True,Fibra óptica,False,False,False,False,True,False,Mes-a-Mes,True,Cheque electrónico,85.65,181.5,2.855
True,Femenino,False,False,True,9,True,False,DSL,False,False,True,True,True,True,Mes-a-Mes,True,Cheque por correo,72.9,651.4,2.43
False,Masculino,False,True,True,50,True,True,DSL,True,False,False,True,True,False,Dos años,True,Tarjeta de crédito,70.5,3486.65,2.35
False,Femenino,False,True,True,71,True,False,No,False,False,False,False,False,False,Dos años,False,Transferencia,20.1,1389.6,0.67
True,Masculino,True,True,False,32,True,True,Fibra óptica,False,False,False,False,False,False,Mes-a-Mes,True,Cheque electrónico,74.9,2303.35,2.496666666666667
False,Femenino,False,True,True,16,True,False,Fibra óptica,True,False,True,False,True,True,Mes-a-Mes,False,Transferencia,100.7,1522.7,3.356666666666667
False,Femenino,False,True,True,67,True,True,Fibra óptica,False,False,True,True,True,True,Dos años,True,Transferencia,105.65,6717.9,3.521666666666667
False,Masculino,False,True,True,72,True,True,Fibra óptica,True,True,True,True,True,True,Dos años,True,Tarjeta de crédito,114.3,8058.55,3.81
True,Femenino,False,False,False,3,True,False,No,False,False,False,False,False,False,Mes-a-Mes,False,Cheque electrónico,19.75,58.85,0.6583333333333333
False,Masculino,False,True,True,23,True,True,No,False,False,False,False,False,False,Un año,False,Cheque por correo,24.35,538.5,0.8116666666666668
False,Masculino,False,True,True,72,True,True,DSL,True,True,True,True,False,False,Dos años,False,Transferencia,69.85,5102.35,2.328333333333333
False,Masculino,False,True,True,7,False,False,DSL,True,True,True,False,True,True,Mes-a-Mes,False,Cheque por correo,58.85,465.7,1.9616666666666667
False,Masculino,True,True,False,65,True,True,Fibra óptica,False,True,True,False,True,True,Un año,True,Transferencia,103.15,6792.45,3.4383333333333335
False,Masculino,False,True,True,8,True,False,DSL,False,False,False,False,True,False,Mes-a-Mes,True,Cheque electrónico,54.4,475.1,1.8133333333333332
False,Masculino,False,True,True,66,False,False,DSL,False,False,False,True,True,True,Dos años,False,Transferencia,50.55,3364.55,1.6849999999999998
True,Masculino,False,False,False,5,True,False,No,False,False,False,False,False,False,Mes-a-Mes,False,Cheque por correo,21.05,113.85,0.7016666666666667
True,Masculino,False,False,False,49,True,True,Fibra óptica,False,True,True,False,True,True,Mes-a-Mes,True,Transferencia,103.7,5036.3,3.4566666666666666
False,Masculino,False,True,False,63,True,False,No,False,False,False,False,False,False,Dos años,True,Transferencia,19.95,1234.8,0.6649999999999999
False,Femenino,True,True,True,12,False,False,DSL,False,False,False,True,False,False,Mes-a-Mes,True,Cheque por correo,29.3,355.9,0.9766666666666667
False,Masculino,False,True,True,27,True,False,DSL,True,True,False,False,False,False,Mes-a-Mes,True,Tarjeta de crédito,54.75,1510.3,1.825
False,Femenino,False,False,False,35,True,False,DSL,True,True,True,False,False,False,Mes-a-Mes,False,Cheque electrónico,60.55,1982.6,2.018333333333333
False,Femenino,False,True,True,54,True,True,DSL,False,True,True,True,True,True,Mes-a-Mes,True,Cheque electrónico,86.2,4524.05,2.8733333333333335
True,Masculino,False,False,False,1,True,True,Fibra óptica,False,False,False,False,True,True,Mes-a-Mes,True,Cheque electrónico,95.45,95.45,3.1816666666666666
False,Masculino,False,False,False,5,True,False,DSL,False,False,True,True,True,False,Mes-a-Mes,True,Tarjeta de crédito,63.95,318.1,2.131666666666667
False,Masculino,False,False,False,19,True,False,DSL,False,True,False,True,False,True,Un año,True,Transferencia,65.35,1231.85,2.1783333333333332
False,Masculino,False,True,True,52,False,False,DSL,False,True,True,True,True,False,Dos años,False,Cheque por correo,50.2,2554.0,1.6733333333333333
False,Femenino,False,True,True,72,False,False,DSL,True,True,True,True,True,True,Dos años,True,Transferencia,63.8,4684.3,2.1266666666666665
False,Masculino,False,False,False,32,True,False,No,False,False,False,False,False,False,Dos años,True,Transferencia,20.05,614.45,0.6683333333333333
True,Femenino,False,True,False,8,True,False,Fibra óptica,False,True,True,False,True,True,Mes-a-Mes,False,Cheque electrónico,101.15,842.9,3.371666666666667
